Fri Oct 21 10:23:34 UTC 2016
[71.99354599,0.482306278]
[71.53142324,12.15679388]
[87.2317433,10.53887406]
[85.39081416,11.06984693]
[28.71101288,6.45080845]
[130.7669868,6.453770267]
[58.30603096,-0.888568324]
[125.9133163,7.74059708]
[135.0511576,1.576967162]
[122.1325931,6.255414575]
[95.73563421,9.700914448]
[30.00933116,8.17539818]
[47.32395208,10.17098251]
[49.35620794,1.133954164]
[50.52307004,1.410642317]
[47.27106643,0.723289461]
[116.2716426,1.078200001]
[106.1872416,10.81601606]
[63.4369006,0.8963674]
[86.63761754,10.05199938]
[127.3044949,8.310995186]
[67.62813289,0.340265688]
[138.9818508,5.903358838]
[133.6605102,4.047693967]
[34.49796915,6.320286282]
[50.81916262,8.364207189]
[125.7565721,4.45185954]
[36.87018497,4.501950515]
[74.94456334,-1.058354683]
[87.16917469,0.483292059]
[134.6075517,3.819930872]
[111.6524133,1.659598604]
[134.5846025,5.943268653]
[122.5135989,5.479526514]
[112.2398299,1.776339223]
[123.6848157,7.040996029]
[88.67973226,0.027432159]
[58.15510965,0.61513016]
[75.48411096,0.361439387]
[113.6570107,0.752689075]
[76.94777041,0.735810802]
[44.3852565,9.355557418]
[33.05521542,7.276930775]
[45.72809402,0.006226994]
[128.7316872,5.655024242]
[44.88449919,1.389253297]
[34.80319297,4.750220106]
[83.57740746,9.84892229]
[121.5668958,2.959471229]
[35.5602679,4.106009979]
[31.50500173,2.037201857]
[110.4778979,8.628030901]
[120.1985499,8.608987543]
[84.38318187,0.627956775]
[64.05952144,0.95608214]
[124.4665544,5.655356328]
[127.484971,3.525880457]

Found 57 outliers

Fri Oct 21 10:24:49 UTC 2016
